М+СRЦА&	сущ	jo	род	ед	м	
ФЕVРDАРIА	сущ	jo	род	ед	м	
ВЪ,	пред					
Д#	4					
ДНЬ#.	сущ	en	вин	ед	м	
ЖИТIЕ	сущ	jo	им	ед	ср	
ПРП(Д)Б&НАГW	прил	тв	род	ед	м	
ОЦА#	сущ	jo	род	ед	м	
НАШЕГW	мест	м	род	ед	м	
*КVРIЛЛА	сущ	о	род	ед	м	
*Б+ЛОГО&	прил	тв	род	ед	м	
НОВОГW	прил	тв	род	ед	м	
ЧЮДОТВОРЦА:	сущ	jo	род	ед	м	
ИЖЕ	мест	м	им	ед	м	
ПРЕЧЕ&СТЕНЪ	прил	о	вин	ед	м	-е
МН(с)ТРЬ	сущ	jo	вин	ед	м	
СОСТАВЛЬШАГW,	прич	м	прош	род	ед	м
ВО	пред					
W&БЛАСТИ	сущ	i	мест	ед	ж	
ГРАДА	сущ	о	род	ед	м	
*Б+ЛА	прил	о	род	ед	ср	
*ЕЗЕРА,	сущ	о	род	ед	ср	
ИЖЕ	мест	м	им	ед	м	
ЕСТЬ&	гл	изъяв	н/б	3	ед	5
НА	пред					
*НWВОМЪ	прил	тв	мест	ед	ср	
*ЕЗЕР+,	сущ	о	мест	ед	ср	
НА	пред					
*КРАСНWМЪ	прил	тв	мест	ед	м	
О&СТРОВ+:	сущ	о	мест	ед	м	
БЛГОСЛОВИ#	гл	повел	2	ед	4	
ОЧЕ#.&	сущ	jo/о	зв	ед	м	
ЕДИНОРОДНЫИ	прил	тв	им	ед	м	
СНЪ#	сущ	u	им	ед	м	
СЛОВW	сущ	es	им	ед	ср	
БЖIЕ#,	прил	jo	им	ед	ср	
СО&БЕ(З)НАЧАЛНЫИ	прил	тв	им	ед	м	
И	союз					
СОПР(с)НОСDЩНЫИ	прил	тв	им	ед	м	
ОЦD#,&	сущ	jo	дат	ед	м	
И	союз					
СОЕСТЕСТВЕННЫИ.	прил	тв	им	ед	м	
НЕИЗРЕЧЕННЫ(М)	прич	тв	прош	тв	ед	ср
СВО&ИМЪ	мест	м	тв	ед	ср	
ЧЛКОЛЮБIЕМЪ#,	сущ	jo	тв	ед	ср	
БЛГОВОЛЕНIЕ(М)#	сущ	jo	тв	ед	ср	
ОЧИ(М)#,&	прил	м	тв	ед	ср	
И	союз					
СОД+ИСТВIЕМЪ	сущ	jo	тв	ед	ср	
СТАГW#	прил	тв	род	ед	м	
ДХА#,	сущ	о	род	ед	м	
ВОПЛОТИ&СR	гл/в	изъяв	аор гл	3	ед	
И	союз					
ВОЧЛЧИСR#	гл/в	изъяв	аор гл	3	ед	
W(Т)	пред					
ПРЕЧ(с)ТЫR	прил	тв	род	ед	ж	
Б(Д)ЦЫ	сущ	jа/а	род	ед	ж	
*МРIИ#.&	сущ	jа/i	род	ед	ж	
БГЪ#	сущ	о	им	ед	м	
НЕ	част					
НАГЪ,	прил	о	им	ед	м	
И	союз					
ЧЛКЪ#	сущ	о	им	ед	м	
НЕ	част					
ПРОСТЪ.	прил	о	им	ед	м	
И	союз					
ПО Z 26	пред					
ВОПЛОЩЕНIИ	сущ	jo	мест	ед	ср	
БГЪ#,	сущ	о	им	ед	м	
ПРИМ+СИВЪ	прич	jо	прош	им	ед	м
СЕБ+	мест	личн	возвр	дат		
~ЧЕ&ЛОВ+ЧЕТВW <ЧЕ&ЛОВ+ЧЕСТВW>:	сущ	о	вин	ед	ср	
НИ	част					
РАЗМ+ШЕНIR	сущ	jo	род	ед	ср	
ПРIИМЪ,&	прич	jo	прош	им	ед	м
НИ	част					
ИЗМ+НЕНIR,	сущ	jo	род	ед	ср	
НО	союз					
ПРЕБЫВЪ	прич	jo	прош	им	ед	м
ЕЖЕ	мест	м	им	ед	ср	
Б+,&	гл	изъяв	а/имп	3	ед	
БЫСТЬ	гл	изъяв	аор гл	3	ед	
ЕЖЕ	мест	м	им	ед	ср	
НЕ	част					
Б+.	гл	изъяв	а/имп	3	ед	
СОВЕРШЕНЪ	прил	о	им	ед	м	
БГЪ#,&	сущ	о	им	ед	м	
БЫВЪ	прич	jo	прош	им	ед	м
СОВЕРШЕНЪ	прил	о	им	ед	м	
ЧЛКЪ#.	сущ	о	им	ед	м	
БЕ(З)СТРАСТЕНЪ&	прил	о	им	ед	м	-е
СЫИ	прич	м	наст	им	ед	м
БЖ(с)ТВОМЪ,	сущ	о	тв	ед	ср	
НА(с)	мест	личн	1	род	мн	
РАДИ	пред					
СТРАСТИ	сущ	i	вин	мн	ж	
ПРЕ&ТЕРП+.	гл	изъяв	аор гл	3	ед	
БЕ(З)СМЕРТЕНЪ	прил	о	им	ед	м	-е
СЫИ,	прич	м	наст	им	ед	м
ПРIRТЪ	гл	изъяв	аор гл	3	ед	
ПЛО&ТIЮ	сущ	i	тв	ед	ж	
СМРТЬ#,	сущ	i	вин	ед	ж	
ДА	союз					
НАМЪ	мест	личн	1	дат	мн	
БЕ(З)СМЕРТIЕ	сущ	jo	вин	ед	ср	
ПОДА&СТЪ.	гл	изъяв	н/б	3	ед	5
И	союз					
МИЛОСЕРДЫ(М)	прил	тв	тв	ед	ср	
СВОИМЪ	мест	м	тв	ед	ср	
СХОЖДЕ&НIЕМЪ,	сущ	jo	тв	ед	ср	
И	союз					
ВОЛНОЮ	прил	тв	тв	ед	ж	
БЛГОСТIЮ#	сущ	i	тв	ед	ж	
ПОДАСТЪ&	гл	изъяв	н/б	3	ед	5
НАМЪ	мест	личн	1	дат	мн	
ВЗЫТИ	инф					
К	пред					
НЕМD.	мест	м	дат	ед	м	
Т+МЪ	мест	тв	тв	ед	ср	
И	союз					
UЧНКИ#&	сущ	о	вин	мн	м	
СВОR,	мест	м	вин	мн	м	
ПОСЫЛАR	прич	jo	наст	им	ед	м
НА	пред					
СПСЕНIЕ#	сущ	jo	вин	ед	ср	
РОДА	сущ	о	род	ед	м	
НАШЕ(г),&	мест	м	род	ед	м	
ГЛАШЕ#:	гл	изъяв	имп	3	ед	
ШЕДШЕ	прич	en	прош	им	мн	м
НАDЧИТЕ	гл	повел	2	мн	4	
